"System";"Site";"Start_Date";"End_Date";"Logger_ID";"Orientation";"Direction";"Vertical_location";"Ch_0";"Ch_7";"Vegetation_cover_edge_ch";"Dominant_veg";"Weather";"Rain";"Moon_phase";"T_ch0_set_C";"T_mid_set_C";"T_ch7_set_C";"DO_ch0_set_AS";"DO_mid_set_AS";"DO_ch7_set_AS";"pH_ch0_set";"pH_mid_set";"pH_ch7_set";"Conductivity_ch0_set_uS";"Conductivity_mid_set_uS";"Conductivity_ch7_set_uS";"Depth_ch0_set_cm";"Depth_mid_set_cm";"Depth_ch7_set_cm";"Turbidity_set_NTU";"T_ch0_retr_C";"T_mid_retr_C";"T_ch7_retr_C";"DO_ch0_retr_AS";"DO_mid_retr_AS";"DO_ch7_retr_AS";"pH_ch0_retr";"pH_mid_retr";"pH_ch7_retr";"Conductivity_ch0_retr_uS";"Conductivity_mid_retr_uS";"Conductivity_ch7_retr_uS";"Depth_ch0_retr_cm";"Depth_mid_retr_cm";"Depth_ch7_retr_cm";"Turbidity_retr_NTU";"t_first_rec_start";"t_last_rec_end";"Recorded_dur_h";"Gain_factor";"Extraction_Threshold";"events_thresh";"BP_FFT_high_cutoff";"GPS_UTM_36M_East";"GPS_UTM_36M_North";"Notes";"t_meas_set";"t_meas_retr"
"LN";"LN16";2023-11-25;2023-11-27;"L9";"Vertical";"Point";"Range";"Open_Surface";"Open_Ground";NA;NA;NA;NA;NA;25,3;NA;25,2;89,6;NA;82,2;6,22;NA;NA;19;NA;NA;230;NA;NA;8,99;25,2;NA;25,1;89;NA;85,3;5,66;NA;NA;19;NA;NA;230;NA;NA;9,525;45255,4109490741;45256,959537037;37,1661111111171;100;"0.02";"0.02";"13kHz";375916;9958544;"tried with 0.01 thresholds, only more noise";2023-11-25 09:40:30;2023-11-27 09:23:30
"LN";"LNI1";2023-10-23;2023-10-25;"L9";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;"Papyrus";NA;NA;NA;24,5;25,3;25,3;58,2;77,7;81;5,88;5,65;5,46;22;23;23;95;185;195;NA;25,1;25,3;25,4;65,1;64,6;62,8;6,39;5,83;5,49;23;23;23;104;168;175;NA;45222,3676157407;45223,2287152778;20,6663888889598;100;"0.01+0.02";"0.01+0.02";"13kHz";374619;9959621;NA;2023-10-23 08:50:00;2023-10-25 08:30:20
"LN";"LNI2";2023-10-30;2023-11-01;"L9";"Vertical";"Point";"Range";"Open_Surface";"Open_Ground";NA;NA;NA;NA;NA;25,3;25,4;25,5;24,7;19,8;33,4;5,12;5,43;5,59;25;25;23;210;198;193;NA;24,3;25,2;25,8;8,2;13,1;22,3;5,54;5,61;5,35;26;25;24;35;222;222;NA;45229,393912037;45230,6647337963;30,4997222222155;100;"0.02";"0.02";"13kHz";374705;9959456;NA;2023-10-30 09:30:40;2023-11-01 08:45:00
"LN";"LNI3";2023-11-06;2023-11-08;"L9";"Vertical";"Point";"Range";"Open_Surface";"Open_Ground";NA;NA;NA;NA;NA;27,4;25,9;25,5;99,8;91,2;89;5,84;NA;NA;21;NA;NA;300;NA;NA;NA;24,6;24,5;24,4;84,3;83,2;85,7;5,85;NA;NA;20;NA;NA;300;NA;NA;NA;45236,4530787037;45237,9669444444;36,3327777778613;100;"0.02";"0.02";"13kHz";374819,5;9959335;NA;2023-11-06 10:43:20;2023-11-08 09:10:00
"LN";"LNI4";2023-11-13;2023-11-15;"L9";"Vertical";"Point";"Range";"Open_Surface";"Open_Ground";NA;NA;NA;NA;NA;24,6;24,9;25;90,8;91,8;93;5,44;NA;NA;20;NA;NA;300;NA;NA;NA;25,4;25,4;25,1;97,2;94,6;82,1;5,57;NA;NA;20;NA;NA;300;NA;NA;NA;45243,4584606482;45245,0001157407;36,9997222220991;100;"0.02";"0.02";"13kHz";374886;9959269;NA;2023-11-13 10:55:40;2023-11-15 09:33:00
"PL";"PLS";2023-10-18;2023-10-20;"L9";"Horizontal";"Parallel";"Below_surface";"Open";"Cover";NA;NA;NA;NA;NA;28;NA;27,6;22,7;NA;23,8;3,82;NA;3,31;8;NA;8;38;NA;28;4,585;22;22,1;22,2;10,5;10,4;10,6;3,62;3,62;3,5;8;8;8;51;33;37;2,935;45217,5541550926;45218,3944212963;20,1663888889016;10;"5.0000000000000001E-3";"0.01";"13kHz";382782;9964814;NA;2023-10-18 14:19:00;2023-10-20 09:06:00
"LN";"LN12";2023-11-20;2023-11-22;"L11";"Vertical";"Point";"Range";"Open_Surface";"Open_Ground";NA;NA;NA;NA;NA;29,1;27,8;26,5;99,9;104;79,1;6,37;NA;NA;20;NA;NA;230;NA;NA;NA;24,7;24,7;24,7;88,7;89,7;88,1;5,56;NA;NA;19;NA;NA;230;NA;NA;NA;45250,4609259259;45251,7525810185;30,9997222222737;100;"0.02+0.01";"0.02+0.01";"13kHz";380002,5;9958606;"channel 8 data missing";2023-11-20 11:00:00;2023-11-22 10:15:40
"LN";"LN17";2023-11-25;2023-11-27;"L11";"Horizontal";"Orthogonal";"Below_surface";"Shore";"Open";NA;NA;NA;NA;NA;25,6;25,6;25,6;93;93;93;5,68;5,1;5,13;19;19;19;67;77;84;NA;25;25,1;25,2;80,6;84,6;82,4;5,36;5,53;5,76;20;19;19;72,5;73;85;NA;45255,4878935185;45256,7101041667;29,3330555555876;10;"0.005 + 0.002";"0.01 + 0.002";"13kHz";374826;9960108;"Logger was prepared for River -> only 10x gain";2023-11-25 11:41:20;2023-11-27 10:12:20
"PL";"PLP";2023-10-18;2023-10-20;"L3";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45217,5400462963;45218,8108564815;30,4994444445474;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;NA;NA;NA
"PL";"PLP";2023-10-25;2023-10-27;"L3";"Horizontal";"Orthogonal";"Ground";"Vegetation";"Open";NA;"Miscanthidium";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45224,5240046296;45225,5656597222;24,9997222220991;10;"5.0000000000000001E-3";"0.01";"13kHz";382794;9964774;NA;NA;NA
